date,price,level,levels,rooms,area,kitchen_area,geo_lat,geo_lon,building_type,object_type,postal_code,street_id,id_region,house_id,time,region
2021-01-01,2451300,15,31,1,30.3,0.0,56.7801124,60.6993548,0,2,620000.0,,66.0,1632918.0,,
2021-01-01,1450000,5,5,1,33.0,6.0,44.6081542,40.1383814,0,0,385000.0,,1.0,,,
2021-01-01,10700000,4,13,3,85.0,12.0,55.5400601,37.7251124,3,0,142701.0,242543.0,50.0,681306.0,,
2021-01-01,3100000,3,5,3,82.0,9.0,44.6081542,40.1383814,0,0,385000.0,,1.0,,,
2021-01-01,2500000,2,3,1,30.0,9.0,44.7386846,37.7136681,3,2,353960.0,439378.0,23.0,1730985.0,,
2021-01-01,1450000,5,5,2,47.0,6.0,48.5111715,44.5668459,2,0,400096.0,260588.0,34.0,1009994.0,,
2021-01-01,9000000,2,4,3,107.4,21.3,55.0099136,82.9348589,4,0,630102.0,233285.0,54.0,2823596.0,,
2021-01-01,2990000,1,2,3,54.0,7.0,51.8347031,107.6005709,0,0,670034.0,,3.0,,,
2021-01-01,2300000,16,18,1,39.7,11.5,45.0038685,39.0865107,4,0,350065.0,523822.0,23.0,1284243.0,,
2021-01-01,2290000,2,2,2,53.2,16.0,53.164362,45.033956,5,0,440003.0,,58.0,,,
2021-01-01,3350000,1,19,-1,10.1,2.0,55.778026,37.540147,3,0,123007.0,580339.0,77.0,2069062.0,,
2021-01-01,5000000,8,9,3,100.0,0.0,57.104626,65.58797,4,0,625046.0,450441.0,72.0,2825516.0,,
2021-01-01,3214804,5,17,-1,32.44,0.0,55.4624497,37.700041,0,2,102321.0,,50.0,799789.0,,
2021-01-01,3750000,19,20,2,40.0,-100.0,55.0552885,82.8941912,3,0,630082.0,557992.0,54.0,2715855.0,,
2021-01-01,11100000,3,17,2,62.4,9.7,55.6905542,37.8635456,0,0,140002.0,,50.0,,,
2021-01-01,8865000,10,13,2,66.7,14.6,59.8511787,30.4116573,4,2,192288.0,569976.0,78.0,1690045.0,,
2021-01-01,2650000,6,7,-1,26.0,4.0,57.1529744,65.5344099,3,2,625062.0,229121.0,72.0,880012.0,,
2021-01-01,2300000,2,4,3,62.4,7.7,48.7811242,44.5777823,4,0,400009.0,,34.0,,,
2021-01-01,2500000,5,9,3,61.0,7.5,57.6881859,39.76105,2,0,150063.0,190251.0,76.0,1940462.0,,
2021-01-01,4650000,5,9,2,56.8,8.0,54.7422365,55.9962363,4,0,450097.0,458583.0,2.0,918972.0,,
2021-01-01,2435000,5,5,1,49.7,0.0,54.6033362,36.2673399,4,0,248031.0,564060.0,40.0,2657892.0,,
2021-01-01,5000000,6,9,2,62.9,11.2,45.0381364,38.9212563,0,0,350004.0,209279.0,23.0,2170951.0,,
2021-01-01,3450000,10,18,2,55.0,11.0,45.0732145,39.0387712,4,0,350901.0,550810.0,23.0,704175.0,,
2021-01-01,1650000,5,5,2,46.1,0.0,54.298622,48.332397,0,0,432028.0,,73.0,,,
2021-01-01,2250000,5,5,3,60.0,9.0,56.4449573,53.766105,4,0,427961.0,431723.0,18.0,2388350.0,,
2021-01-01,1250000,2,2,3,70.7,11.0,52.8590666,39.8182962,4,0,399140.0,,48.0,,,
2021-01-01,2700000,5,5,3,64.0,-100.0,50.5365229,137.0290803,4,0,681000.0,317006.0,27.0,2279129.0,,
2021-01-01,2900000,4,6,1,32.0,6.0,44.7275009,37.7511461,2,0,353907.0,568636.0,23.0,1953752.0,,
2021-01-01,3650000,6,7,1,36.0,16.0,57.1529744,65.5344099,4,2,625062.0,229121.0,72.0,880012.0,,
2021-01-01,2600000,4,5,1,34.0,6.5,52.985992,158.6709,0,0,683013.0,,41.0,,,
2021-01-01,900000,3,4,3,54.0,-100.0,51.9114659,102.4355979,4,0,671023.0,153245.0,3.0,632956.0,,
2021-01-01,1350000,5,5,1,31.0,6.0,57.6036524,39.8193541,4,0,150029.0,219632.0,76.0,1932159.0,,
2021-01-01,1800000,5,5,3,57.9,6.0,53.5188796,50.1372729,4,0,443901.0,139613.0,63.0,1034124.0,,
2021-01-01,2250000,2,3,1,40.0,10.2,54.50598,36.251661,4,2,,,40.0,1179265.0,,
2021-01-01,4296056,2,17,1,36.99,11.72,55.5639247,37.8255637,4,2,142714.0,,50.0,1704996.0,,
2021-01-01,3100000,1,4,3,62.0,7.0,44.611368,40.105483,0,0,385000.0,,1.0,,,
2021-01-01,30000000,11,22,3,109.0,15.5,55.702794,37.666153,3,0,115432.0,451495.0,77.0,1430362.0,,
2021-01-01,2300000,4,9,1,32.0,5.0,56.2966828,101.7603955,0,0,665707.0,339190.0,38.0,2686707.0,,
2021-01-01,22112640,8,29,3,69.8,11.6,55.8349584,37.6373778,0,2,129226.0,201942.0,77.0,1251884.0,,
2021-01-01,2700000,4,5,3,56.6,6.0,44.611368,40.105483,0,0,385000.0,,1.0,,,
2021-01-01,2370000,3,4,2,54.0,0.0,43.047672,44.671295,0,0,362021.0,194558.0,15.0,2275604.0,,
2021-01-01,4200000,1,14,2,50.0,-100.0,43.5821663,39.727345,3,0,354000.0,151411.0,23.0,1278090.0,,
2021-01-01,1690000,1,5,1,29.9,0.0,61.8012114,34.2904993,2,0,185013.0,586421.0,10.0,1098069.0,,
2021-01-01,4800000,4,8,2,50.4,9.6,54.711208,20.497776,0,0,236006.0,,39.0,,,
2021-01-01,750000,2,2,2,48.0,8.0,52.6214385,51.274101,5,0,446643.0,210091.0,63.0,2376977.0,,
2021-01-01,5300000,5,10,3,67.1,9.0,44.7415855,37.7238478,2,0,353912.0,568636.0,23.0,1196149.0,,
2021-01-01,2300000,8,16,1,45.2,14.3,45.093524,39.005613,3,0,350024.0,317008.0,23.0,2108202.0,,
2021-01-01,4900000,9,10,3,66.0,11.0,44.7415855,37.7238478,2,0,353912.0,568636.0,23.0,1196149.0,,
2021-01-01,1560000,4,4,2,46.5,7.0,48.5768987,44.4392115,0,0,400057.0,,34.0,,,
2021-01-01,4860000,2,5,2,56.0,0.0,61.2666181,73.3787549,2,0,628415.0,547403.0,86.0,976715.0,,
2021-01-01,1960000,5,5,1,29.2,6.3,55.6915564,52.3399654,2,0,423803.0,577048.0,16.0,754999.0,,
2021-01-01,5450000,1,4,2,51.9,14.4,60.17451,30.153282,3,0,188651.0,,47.0,,,
2021-01-01,2190000,10,10,2,80.2,16.0,43.4734542,43.5750415,5,0,360030.0,350841.0,7.0,867686.0,,
2021-01-01,3899000,5,5,3,66.1,9.0,55.9072587,38.0579851,2,0,141103.0,446284.0,50.0,2679689.0,,
2021-01-01,1000000,1,1,3,68.0,11.0,45.4923847,42.1332456,4,0,356180.0,343628.0,26.0,1988099.0,,
2021-01-01,3450000,4,6,3,62.0,9.0,57.1512483,65.5889695,4,0,625048.0,136462.0,72.0,2629384.0,,
2021-01-01,5450000,2,17,2,54.7,17.1,44.6831175,37.7800038,3,0,353924.0,246582.0,23.0,2178236.0,,
2021-01-01,2050000,5,5,2,46.0,0.0,43.024408,44.6619571,2,0,362003.0,290898.0,15.0,1186513.0,,
2021-01-01,4000000,3,3,2,61.3,15.0,44.7386846,37.7136681,3,0,353960.0,439378.0,23.0,1213340.0,,
2021-01-01,1860000,3,5,3,58.2,7.0,48.8472148,44.5560462,4,0,400058.0,420205.0,34.0,1821881.0,,
2021-01-01,4200000,6,10,4,120.0,20.0,42.9671407,47.5354944,3,0,367007.0,540675.0,5.0,1654926.0,,
2021-01-01,1500000,2,5,2,55.2,9.3,45.9574372,33.7996991,5,0,296000.0,445921.0,91.0,1439532.0,,
2021-01-01,5970000,7,10,2,51.7,8.9,56.2911642,43.9116968,2,0,603034.0,337428.0,52.0,2003626.0,,
2021-01-01,4200000,12,25,-1,25.8,-100.0,60.0368892,30.2261228,3,2,190000.0,291085.0,78.0,2484205.0,,
2021-01-01,2600000,1,5,1,30.0,6.0,44.6993312,37.7831112,2,0,353923.0,226112.0,23.0,2608554.0,,
2021-01-01,7100000,3,16,3,78.1,12.3,52.2667892,104.3265025,3,0,664081.0,492098.0,38.0,2552545.0,,
2021-01-01,1750000,11,14,1,38.0,12.6,51.822302,55.174318,2,0,460060.0,,56.0,,,
2021-01-01,11340000,2,5,3,130.0,16.7,54.754511,55.996573,4,0,450058.0,222600.0,2.0,1465817.0,,
2021-01-01,3400000,1,2,2,43.0,0.0,44.7032041,37.7863291,0,0,353905.0,171066.0,23.0,2436513.0,,
2021-01-01,2700000,7,9,2,53.0,9.0,54.279602,48.29743,2,0,432029.0,,73.0,,,
2021-01-01,5800000,8,17,2,81.7,23.0,51.644787,39.168873,3,0,394055.0,,36.0,,,
2021-01-01,6000000,4,9,3,52.4,6.0,55.7496117,38.0076555,2,0,143980.0,235760.0,50.0,795929.0,,
2021-01-01,3900000,2,5,3,68.2,14.9,44.1967906,42.0473039,0,0,369015.0,166943.0,9.0,2628180.0,,
2021-01-01,3500000,7,9,3,61.5,8.7,56.10996,40.37477,0,0,600033.0,,33.0,,,
2021-01-01,1670000,4,5,3,61.0,6.0,56.3889292,61.9389994,4,0,623408.0,199317.0,66.0,687137.0,,
2021-01-01,3880000,1,9,2,60.0,9.5,50.5696764,36.5765002,0,0,308033.0,473680.0,31.0,2138731.0,,
2021-01-01,1850000,9,9,1,39.0,0.0,56.1255488,93.3334825,2,0,662501.0,,24.0,,,
2021-01-01,4380000,10,10,3,85.0,12.0,57.6387864,39.9494363,4,0,150065.0,368032.0,76.0,616411.0,,
2021-01-01,4764200,9,11,2,57.4,11.3,56.838607,60.605514,3,2,,,66.0,1104878.0,,
2021-01-01,5175000,7,17,1,39.0,10.0,55.8075249,37.9434,2,0,143902.0,226252.0,50.0,1683047.0,,
2021-01-01,1650000,6,20,1,19.5,4.0,56.7805182,60.6992904,0,0,620023.0,,66.0,2652227.0,,
2021-01-01,4090000,7,9,1,32.0,6.0,55.9819313,37.7430357,3,0,141033.0,129787.0,50.0,679371.0,,
2021-01-01,650000,2,2,1,38.0,-100.0,52.889061,36.34307,3,0,302512.0,,57.0,,,
2021-01-01,2800000,5,5,3,61.0,6.0,57.5893632,39.8638563,4,0,150048.0,510428.0,76.0,896293.0,,
2021-01-01,2000000,2,4,2,60.2,-100.0,55.2471398,61.3956963,4,0,454031.0,241136.0,74.0,2835575.0,,
2021-01-01,6700000,10,12,3,94.1,-100.0,53.3570823,83.7750952,3,2,656002.0,122318.0,22.0,1739426.0,,
2021-01-01,3900000,4,10,3,59.0,9.0,44.6292697,41.945838,4,0,357100.0,537524.0,26.0,2602575.0,,
2021-01-01,2350000,3,5,2,42.0,6.0,57.1541591,65.5772557,4,0,625048.0,123985.0,72.0,1083536.0,,
2021-01-01,2500000,20,20,-1,25.0,0.0,44.6727019,37.7873634,3,0,353924.0,175085.0,23.0,1259902.0,,
2021-01-01,5900000,7,9,3,76.0,8.3,51.6988612,94.4183629,2,0,667011.0,218348.0,17.0,1245571.0,,
2021-01-01,3100000,3,3,1,42.0,15.0,44.750924,37.7141333,3,0,353960.0,222442.0,23.0,1417131.0,,
2021-01-01,2600000,2,9,3,62.9,7.5,58.590813,49.59121,0,0,610045.0,,43.0,,,
2021-01-01,1800000,2,8,2,35.0,-100.0,57.1189872,65.6179624,2,0,625019.0,409546.0,72.0,1082282.0,,
2021-01-01,4500000,3,10,2,96.0,18.0,53.265244,34.3239217,0,0,241001.0,433867.0,32.0,2530844.0,,
2021-01-01,3750000,5,5,3,78.0,10.0,43.0265689,44.7076571,4,0,362019.0,559307.0,15.0,1800400.0,,
2021-01-01,3485000,13,17,2,62.0,12.5,51.7849433,55.0946359,2,0,460050.0,201977.0,56.0,2247245.0,,
2021-01-01,2250000,10,12,1,36.43,11.1,44.7566086,37.7225751,3,2,353960.0,224050.0,23.0,716660.0,,
2021-01-01,1600000,6,6,1,38.0,9.0,52.0224407,47.8439498,2,0,413863.0,346600.0,64.0,2666000.0,,
2021-01-01,1900000,4,9,1,30.0,6.0,53.3663231,83.6641028,2,0,656060.0,182406.0,22.0,1946447.0,,
2021-01-01,6574995,10,11,-1,31.0,-100.0,59.9367442,30.2517999,3,0,199406.0,172995.0,78.0,1780424.0,,
2021-01-01,3718427,3,17,1,41.27,0.0,55.4624497,37.700041,0,2,102321.0,,50.0,799789.0,,
2021-01-01,40336132,10,21,2,120.0,20.0,43.5854551,39.7231548,0,0,354000.0,,23.0,1357199.0,,
2021-01-01,1150000,17,17,-1,20.0,3.0,54.934666,83.11958,0,0,630068.0,312570.0,54.0,2047558.0,,
2021-01-01,1750000,4,5,2,31.9,-100.0,55.8025732,38.9795924,4,0,142600.0,542517.0,50.0,2294086.0,,
2021-01-01,7250000,21,24,2,60.0,11.0,60.0496489,30.428597,3,0,188669.0,174464.0,47.0,902072.0,,
2021-01-01,7718000,32,33,2,69.5,19.2,56.838607,60.605514,3,2,,,66.0,1104878.0,,
2021-01-01,3900000,1,5,3,67.8,10.0,57.1536573,65.5715539,4,0,625006.0,507621.0,72.0,2533206.0,,
2021-01-01,3400000,5,5,2,50.0,5.0,44.6993312,37.7831112,2,0,353923.0,226112.0,23.0,2608554.0,,
2021-01-01,7068330,12,13,1,42.3,18.7,55.638429,37.652912,0,2,,,78.0,,,
2021-01-01,2000000,1,5,1,30.0,6.0,57.994987,56.299377,2,0,614077.0,,59.0,,,
2021-01-01,2900000,4,16,1,36.21,10.1,44.6734796,37.7689778,2,2,353924.0,240026.0,23.0,1860883.0,,
2021-01-01,3100000,1,4,3,62.5,0.0,45.050947,41.9762141,0,0,355035.0,446215.0,26.0,1542826.0,,
2021-01-01,5300000,4,5,2,54.8,8.5,59.572716,30.11973,0,0,188300.0,,47.0,,,
2021-01-01,1000000,5,5,2,39.3,-100.0,51.876017,36.907463,4,0,306530.0,,46.0,,,
2021-01-01,1300000,5,9,1,29.0,0.0,54.267727,48.30057,0,0,432073.0,,73.0,,,
2021-01-01,6399000,16,19,-1,72.0,0.0,55.013206,82.8985996,2,2,630029.0,251925.0,54.0,646359.0,,
2021-01-01,750000,1,2,2,37.0,-100.0,58.366385,45.510575,4,0,157500.0,,44.0,,,
2021-01-01,2600000,7,9,1,33.0,0.0,57.1399134,65.5053563,2,0,625049.0,183448.0,72.0,884547.0,,
2021-01-01,5600000,7,16,2,55.9,0.0,61.242795,73.463981,0,0,628401.0,520427.0,86.0,2353556.0,,
2021-01-01,3000000,3,5,3,60.0,-100.0,45.0547245,38.9996018,4,0,350042.0,134296.0,23.0,1608743.0,,
2021-01-01,2180000,3,5,2,46.6,6.0,57.752775,40.990495,4,0,156019.0,,44.0,,,
2021-01-01,800000,2,5,1,30.0,-100.0,58.0856229,57.821606,5,0,618910.0,393621.0,59.0,1647430.0,,
2021-01-01,2700000,1,9,3,57.0,0.0,53.3539688,83.6776601,2,0,656057.0,342869.0,22.0,2569222.0,,
2021-01-01,1800000,1,5,1,36.6,-100.0,45.0307781,38.9658333,4,0,350000.0,345171.0,23.0,860979.0,,
2021-01-01,3900000,14,22,1,40.2,11.0,48.6856192,44.4870685,3,0,400074.0,,34.0,,,
2021-01-01,2125200,1,24,1,32.2,9.5,47.245924,39.689961,0,2,344079.0,203005.0,61.0,1262818.0,,
2021-01-01,6300000,15,25,1,38.9,-100.0,45.046412,38.979203,3,0,350020.0,346526.0,23.0,799494.0,,
2021-01-01,2376000,19,24,1,36.0,11.9,47.245924,39.689961,0,2,344079.0,203005.0,61.0,1262818.0,,
2021-01-01,2398500,24,25,1,36.9,0.0,47.245924,39.689961,0,2,344079.0,203005.0,61.0,1262818.0,,
2021-01-01,5200000,5,10,3,100.0,25.0,45.0922453,39.0083362,3,0,350024.0,439064.0,23.0,2750749.0,,
2021-01-01,5700000,11,16,2,56.0,10.0,44.6889835,37.7918159,3,0,353913.0,351003.0,23.0,2285007.0,,
2021-01-01,1350000,4,5,2,44.2,6.0,53.107281,48.423317,0,0,446009.0,,63.0,,,
2021-01-01,2660000,1,3,2,54.4,12.0,45.132986,42.021168,4,0,356240.0,,26.0,,,
2021-01-01,6250000,4,9,3,75.8,12.4,54.705345,20.52301,4,0,236006.0,,39.0,,,
2021-01-01,2200000,2,3,3,59.4,-100.0,54.4197216,86.305155,0,0,652600.0,582507.0,42.0,2117939.0,,
2021-01-01,2450000,1,5,3,62.7,0.0,53.264081,34.3243089,0,0,241001.0,,32.0,,,
2021-01-01,2509000,1,2,2,36.8,6.6,56.8891225,60.6206474,5,0,620091.0,245802.0,66.0,1018694.0,,
2021-01-01,3650000,9,9,1,47.0,11.5,44.7377454,37.7305128,3,0,353912.0,568636.0,23.0,2356636.0,,
2021-01-01,2500000,1,3,2,58.0,23.0,44.7837421,37.6991944,3,0,353991.0,342321.0,23.0,2420942.0,,
2021-01-01,3700000,3,5,3,98.0,25.0,48.1781661,40.7926979,4,0,347045.0,300075.0,61.0,2607302.0,,
2021-01-01,7400000,9,9,1,32.3,5.2,55.766357,37.712868,3,0,111020.0,394412.0,77.0,2183736.0,,
2021-01-01,3400000,6,9,1,36.0,10.0,44.890434,37.34177,3,0,353451.0,225102.0,23.0,1678711.0,,
2021-01-01,2300000,2,4,2,45.7,-100.0,57.6411167,39.8206923,0,0,150031.0,133895.0,76.0,1478500.0,,
2021-01-01,1650000,3,3,2,53.0,-100.0,56.0682218,44.1474797,2,0,607672.0,459664.0,52.0,1541194.0,,
2021-01-01,2220000,11,18,1,37.01,0.0,52.587696,39.523726,0,0,398004.0,,48.0,,,
2021-01-01,4600000,1,9,2,74.0,14.0,44.7377454,37.7305128,3,0,353912.0,568636.0,23.0,2356636.0,,
2021-01-01,1800000,9,10,-1,33.5,0.0,54.945149,82.959938,2,2,630022.0,519271.0,54.0,2192843.0,,
2021-01-01,2150000,1,5,3,58.0,0.0,54.4815311,53.4655972,0,0,452000.0,329186.0,2.0,2530033.0,,
2021-01-01,2750000,2,6,3,63.7,0.0,55.3381227,86.0634719,4,0,650055.0,306798.0,42.0,1573458.0,,
2021-01-01,590000,5,5,3,66.0,8.0,53.990941,48.328464,0,0,433393.0,,73.0,,,
2021-01-01,3000000,1,5,1,13.6,2.0,55.7401645,37.5469942,4,0,121165.0,152778.0,77.0,2173638.0,,
2021-01-01,8865000,11,13,2,66.7,14.6,59.8511787,30.4116573,4,2,192288.0,569976.0,78.0,1690045.0,,
2021-01-01,3000000,1,6,2,75.0,11.6,56.636802,47.8279808,4,0,424007.0,265249.0,12.0,938314.0,,
2021-01-01,16769040,13,42,3,65.3,-100.0,55.6776405,37.5870576,3,2,,194123.0,77.0,1242477.0,,
2021-01-01,2499000,5,5,2,43.0,6.0,54.8218993,56.1134263,2,0,450065.0,350222.0,2.0,916532.0,,
2021-01-01,2460000,8,9,1,38.0,-100.0,56.1264545,40.3466688,2,0,600028.0,480767.0,33.0,1085509.0,,
2021-01-01,16294780,11,42,3,62.6,-100.0,55.6776405,37.5870576,3,2,,194123.0,77.0,1242477.0,,
2021-01-01,25173570,19,22,2,90.5,0.0,55.7403565,37.5227471,0,2,121170.0,478059.0,77.0,2143866.0,,
2021-01-01,3143300,19,25,2,73.1,23.2,51.5034082,46.1579123,3,0,413106.0,193591.0,64.0,1282933.0,,
2021-01-01,5890000,7,10,1,43.3,12.0,56.838607,60.605514,4,2,,,66.0,1104878.0,,
2021-01-01,2881540,23,25,2,75.8,-100.0,51.5034082,46.1579123,3,0,413106.0,193591.0,64.0,1282933.0,,
2021-01-01,5020000,10,18,2,60.0,12.0,51.8374815,107.5791787,0,2,670000.0,570143.0,3.0,2446868.0,,
2021-01-01,8000000,1,5,4,90.0,0.0,61.23942,73.43794,0,0,628402.0,,86.0,,,
2021-01-01,50457103,10,21,3,150.0,50.0,43.5854551,39.7231548,0,0,354000.0,,23.0,1357199.0,,
2021-01-01,7600000,12,16,2,66.7,0.0,56.8284715,60.5885695,3,0,620014.0,585303.0,66.0,2029679.0,,
2021-01-01,10503090,17,31,1,42.3,12.4,55.8054647,37.7144696,3,2,107392.0,433375.0,77.0,2011990.0,,
2021-01-01,41148764,16,21,2,122.0,22.0,43.5854551,39.7231548,0,0,354000.0,,23.0,1357199.0,,
2021-01-01,16605790,10,42,3,65.3,-100.0,55.6776405,37.5870576,3,2,,194123.0,77.0,1242477.0,,
2021-01-01,4532000,9,10,1,43.0,4.7,44.8997618,37.3301085,3,0,353440.0,145581.0,23.0,1396806.0,,
2021-01-01,1470000,1,5,1,29.0,9.0,54.4869628,53.4832646,4,0,452602.0,,2.0,1012552.0,,
2021-01-01,2927701,12,17,-1,28.07,0.0,55.4624497,37.700041,0,2,102321.0,,50.0,799789.0,,
2021-01-01,2349000,7,25,1,34.8,9.8,47.245924,39.689961,0,2,344079.0,203005.0,61.0,1262818.0,,
2021-01-01,2224200,3,24,1,33.7,9.8,47.245924,39.689961,0,2,344079.0,203005.0,61.0,1262818.0,,
2021-01-01,550000,1,1,3,49.2,-100.0,58.314873,44.747267,6,0,157300.0,,44.0,,,
2021-01-01,1620000,1,9,1,36.6,8.4,48.77528,44.801166,0,0,404126.0,,34.0,,,
2021-01-01,1500000,1,1,2,45.6,11.7,45.0509707,34.60449,4,0,297600.0,392352.0,91.0,1479404.0,,
2021-01-01,1000000,1,2,3,58.0,-100.0,53.962763,38.1637751,5,0,301602.0,214267.0,71.0,1849959.0,,
2021-01-01,2200000,1,9,2,53.0,10.1,48.597074,44.424152,2,0,400059.0,431831.0,34.0,766868.0,,
2021-01-01,3000000,1,9,2,52.1,7.5,54.910457,52.2763338,1,0,423457.0,432953.0,16.0,2244645.0,,
2021-01-01,1050000,2,5,2,48.6,0.0,55.0793602,21.8934673,4,0,238750.0,179018.0,39.0,1532808.0,,
2021-01-01,1020000,2,3,1,23.0,4.7,52.969124,36.059994,0,0,302028.0,,57.0,,,
2021-01-01,3100000,1,9,2,42.4,5.98,64.512115,40.66939,2,0,163062.0,,29.0,,,
2021-01-01,18000000,10,11,4,153.3,0.0,56.0116624,92.8900974,4,0,660049.0,385730.0,24.0,2048192.0,,
2021-01-01,7900000,4,9,3,74.0,-100.0,59.8913945,30.4647111,2,0,193230.0,415324.0,78.0,944668.0,,
2021-01-01,1500000,5,5,2,53.0,9.0,55.94756,37.343775,0,0,107140.0,,37.0,,,
2021-01-01,1650000,14,18,-1,25.0,-100.0,47.3161942,39.7934183,2,0,344065.0,495262.0,61.0,1938265.0,,
2021-01-01,1600000,13,16,-1,23.5,-100.0,45.1024303,39.0339752,4,2,,538685.0,23.0,1652566.0,,
2021-01-01,3960000,6,10,2,58.0,12.0,53.2088357,50.1797925,2,0,443080.0,480698.0,63.0,1840897.0,,
